Date,btc_price_usd,eth_price_usd,bnb_price_usd,sol_price_usd,xrp_price_usd,btc_daily_return,eth_daily_return,bnb_daily_return,sol_daily_return,xrp_daily_return,btc_price_indexed,eth_price_indexed,bnb_price_indexed,sol_price_indexed,xrp_price_indexed,month,quarter,year,btc_return_direction,eth_return_direction,bnb_return_direction,sol_return_direction,xrp_return_direction
2025-05-13,102876.8304286011,2492.426391077375,660.9533536861077,174.41950190990173,2.5407166812994824,-0.0107432210145064,-0.005999243786481,0.0154976372179225,0.0090346501972558,0.0736094552515824,0.6463704422306024,0.30408179308428074,0.14183664180846003,0.5693121996063836,0.5660268946906142,5,2025Q2,2025,Down,Down,Up,Up,Up
2025-05-14,104184.49039270742,2676.639163127913,666.2402578411695,184.05379777179436,2.5882656119238727,0.0127109278022894,0.0739090120013175,0.00799890661811,0.0552363454567672,0.0187147709047474,0.6674890438284394,0.3589418874902689,0.14880853695377882,0.6260466473308293,0.5863453706014777,5,2025Q2,2025,Up,Up,Up,Up,Up
2025-05-15,103594.42575090707,2603.718088719961,651.6490150180347,176.45507175799847,2.552660064054796,-0.0056636514665107,-0.0272435206853717,-0.0219008723225688,-0.0412853530097619,-0.0137565278096055,0.6579595480656261,0.33722538552530845,0.12956691425377523,0.5812992646489984,0.5711305075715226,5,2025Q2,2025,Down,Down,Down,Down,Down
2025-05-16,103708.8513642364,2542.296692466797,651.1362648113163,168.75269732863256,2.3780203600308965,0.0011045537682159,-0.0235898796107225,-0.0007868502750735,-0.0436506264888176,-0.0684147907052267,0.6598075123734892,0.3189335832822384,0.12889074525730151,0.5359415171102881,0.49650395818978377,5,2025Q2,2025,Up,Down,Down,Down,Down
2025-05-17,103556.03493982446,2544.3870377235667,647.3412018782846,167.76812404954248,2.387491166631724,-0.0014735138071797,0.0008222271078601,-0.0058283697869776,-0.0058344150622535,0.0039826431934772,0.6573395396027795,0.3195561054713949,0.12388615654849144,0.5301435613453664,0.5005509967508708,5,2025Q2,2025,Down,Up,Down,Down,Up
2025-05-18,103212.36483885496,2475.0543933696918,639.5979769763185,165.9394166641985,2.352615765613394,-0.0033186873287414,-0.02724925230554,-0.0119615820520906,-0.0109002076270696,-0.0146075518543308,0.6517892955464637,0.29890826779797414,0.11367508585006732,0.5193746681076695,0.48564813802897233,5,2025Q2,2025,Down,Down,Down,Down,Down
2025-05-19,106030.6376831359,2465.3409856139087,649.3806686821907,171.5406749574527,2.4178990437197814,0.0273055737912903,-0.0039245229445475,0.0152950635524515,0.0337548390000015,0.0277492309031457,0.6973041717574576,0.29601553424560173,0.12657562249910428,0.552359361580361,0.5135448056546881,5,2025Q2,2025,Up,Down,Up,Up,Up
2025-05-20,105629.41580436694,2526.989643891319,651.0389804540937,166.7148813421899,2.380872760920828,-0.0037840183510728,0.0250061385573641,0.0025536820725942,-0.0281320661496738,-0.0153134114077776,0.6908244711910738,0.31437501700813986,0.1287624553700739,0.523941225006724,0.49772283815215385,5,2025Q2,2025,Down,Up,Up,Down,Down
2025-05-21,106786.71995834044,2524.2743433146065,650.951301036078,168.38572912424627,2.356578233921423,0.0109562676756338,-0.0010745198672563,-0.0001346761417488,0.0100221873932591,-0.0102040425671504,0.7095148387378017,0.31356637793105024,0.1286468316154381,0.5337805145101253,0.48734136889256924,5,2025Q2,2025,Up,Down,Down,Up,Down
2025-05-22,109665.86371625264,2558.9502343769486,674.7138326551593,173.96771434765478,2.40289962663494,0.0269616274292852,0.0137369740155934,0.03650431542461,0.033149989921591,0.0196562083306848,0.756012775231408,0.3238931464613558,0.1599827276287864,0.5666517127166008,0.5071352967401173,5,2025Q2,2025,Up,Up,Up,Up,Up
